,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Allocated CSR address,CSR[11:10],,,,,,CSR[9:8],,
,,,,,,,,,,,,,
,,,,,read/write,,,,,,Risc-v privilege level,,
,,,,,,,,,,,,,
,,,,,0,Read/Write,,,,,0,user/appli,U
,,,,,1,Read/Write,,,,,1,supervisor,S
,,,,,2,Read/Write,,,,,2,Hypervisor,H
,,,,,3,Read Only,,,,,3,machine,M
,,,,,,,,,,,,,
,,,,,,,,,,,,,
User Trap Setup,,,,,,,,,,,,,
,0x000,URW,ustatus,User status register.,,,,,,,,,
,0x004,URW,uie,User interrupt-enable register.,,,,,,,,,
,0x005,URW,utvec,User trap handler base address.,,,,,,,,,
User Trap Handling,,,,,,,,,,,,,
,0x040,URW,uscratch,Scratch register for user trap handlers.,,,,,,,,,
,0x041,URW,uepc,User exception program counter.,,,,,,,,,
,0x042,URW,ucause,User trap cause.,,,,,,,,,
,0x043,URW,utval,User bad address or instruction.,,,,,,,,,
,0x044,URW,uip,User interrupt pending.,,,,,,,,,
User Floating-Point CSRs,,,,,,,,,,,,,
,0x001,URW,fflags,Floating-Point Accrued Exceptions.,,,,,,,,,
,0x002,URW,frm,Floating-Point Dynamic Rounding Mode.,,,,,,,,,
,0x003,URW,fcsr,Floating-Point Control and Status Register (frm + fflags).,,,,,,,,,
User Counter/Timers,,,,,,,,,,,,,
,0xC00,URO,cycle,Cycle counter for RDCYCLE instruction.,,,,,,,,,
,0xC01,URO,time,Timer for RDTIME instruction.,,,,,,,,,
,0xC02,URO,instret,Instructions-retired counter for RDINSTRET instruction.,,,,,,,,,
,0xC03,URO,hpmcounter3,Performance-monitoring counter.,,,,,,,,,
,0xC04,URO,hpmcounter4,Performance-monitoring counter.,,,,,,,,,
,,,,,,,,,,,,,
,0xC1F,URO,hpmcounter31,. Performance-monitoring counter.,,,,,,,,,
,0xC80,URO,cycleh,"Upper 32 bits of cycle, RV32 only.",,,,,,,,,
,0xC81,URO,timeh,"Upper 32 bits of time, RV32 only.",,,,,,,,,
,0xC82,URO,instreth,"Upper 32 bits of instret, RV32 only.",,,,,,,,,
,0xC83,URO,hpmcounter3h,"Upper 32 bits of hpmcounter3, RV32 only.",,,,,,,,,
,0xC84,URO,hpmcounter4h,"Upper 32 bits of hpmcounter4, RV32 only.",,,,,,,,,
,,,,,,,,,,,,,
,0xC9F,URO,hpmcounter31h,"Upper 32 bits of hpmcounter31, RV32 only.",,,,,,,,,
Supervisor Trap Setup,,,,,,,,,,,,,
,0x100,SRW,sstatus,Supervisor status register.,,,,,,,,,
,0x102,SRW,sedeleg,Supervisor exception delegation register.,,,,,,,,,
,0x103,SRW,sideleg,Supervisor interrupt delegation register.,,,,,,,,,
,0x104,SRW,sie,Supervisor interrupt-enable register.,,,,,,,,,
,0x105,SRW,stvec,Supervisor trap handler base address.,,,,,,,,,
,0x106,SRW,scounteren,Supervisor interrupt pending.,,,,,,,,,
Supervisor Trap Handling,,,,,,,,,,,,,
,0x140,SRW,sscratch,Scratch register for supervisor trap handlers.,,,,,,,,,
,0x141,SRW,sepc,Supervisor exception program counter.,,,,,,,,,
,0x142,SRW,scause,Supervisor trap cause.,,,,,,,,,
,0x143,SRW,stval,Supervisor bad address or instruction.,,,,,,,,,
,0x144,SRW,sip,Supervisor interrupt pending.,,,,,,,,,
Supervisor Protection and Translation,,,,,,,,,,,,,
